id	context	tone	vars	chars_ko	ko	en	ja	zh_cn
ev.thief.r.safe	인카운터(랜덤 사건) 본문·선택지 — 플레이어가 겪는 이야기	혼잣말·반말		45	조명이 켜져 있던 덕분인지 없어진 건 없다.<br>불빛이 도둑을 쫓아낸 모양이다.	Thanks to the lights being on, nothing was taken.<br>The glow must have scared the thief off. <b>(the value of light!)</b>	明かりがついていたおかげか、なくなった物はない。<br>光が泥棒を追い払ったらしい。	
ev.thief.r.none	인카운터(랜덤 사건) 본문·선택지 — 플레이어가 겪는 이야기	혼잣말·반말		30	다행히 가져갈 만한 게 없었다... 그게 더 서글프다.	Luckily there was nothing worth taking... which is somehow sadder.	幸い、持っていかれるような物もなかった……それがかえって物悲しい。	
ev.seeds.title	인카운터(랜덤 사건) 본문·선택지 — 플레이어가 겪는 이야기	혼잣말·반말		5	낯선 노인	A Strange Old Man	見知らぬ老人	
ev.seeds.text	인카운터(랜덤 사건) 본문·선택지 — 플레이어가 겪는 이야기	혼잣말·반말		49	"물 두 통만 주게. 대신 이 씨앗을 주지.<br>이 세상에 아직 싹이 트는 씨앗이야."	"Just two bottles of water. In return, take these seeds.<br>Seeds that still sprout, even in this world."	「水を二本だけくれんか。代わりにこの種をやろう。<br>この世界でまだ芽を出す種じゃよ。」	
ev.seeds.c0	인카운터(랜덤 사건) 본문·선택지 — 플레이어가 겪는 이야기	혼잣말·반말		11	💧 물 2를 건넨다	💧 Hand over 2 water	💧 飲み水2を渡す	
ev.seeds.c1	인카운터(랜덤 사건) 본문·선택지 — 플레이어가 겪는 이야기	혼잣말·반말		4	거절한다	Decline	断る	
ev.seeds.r.green	인카운터(랜덤 사건) 본문·선택지 — 플레이어가 겪는 이야기	혼잣말·반말		43	온실 텃밭에 씨앗을 심었다. 놀랍게도 금세 자랐다! <b>(음식 +3)</b>	You planted the seeds in the greenhouse garden. Astonishingly, they grew at once! <b>(food +3)</b>	温室の菜園に種を植えた。驚いたことに、みるみる育った！<b>(食料 +3)</b>	
ev.seeds.r.plain	인카운터(랜덤 사건) 본문·선택지 — 플레이어가 겪는 이야기	혼잣말·반말		59	씨앗을 받았지만 심을 곳이 마땅치 않다. <b>(음식 +1)</b><br>온실이 있었다면 더 좋았을 텐데.	You took the seeds but have nowhere good to plant them. <b>(food +1)</b><br>A greenhouse would have helped.	種は受け取ったが、植える場所が見当たらない。<b>(食料 +1)</b><br>温室があればもっとよかったのに。	
ev.seeds.r1	인카운터(랜덤 사건) 본문·선택지 — 플레이어가 겪는 이야기	혼잣말·반말		22	노인은 혀를 차며 지팡이를 끌고 떠났다.	The old man clicks his tongue and hobbles off with his cane.	老人は舌打ちをして、杖を引きずりながら去っていった。	
ev.radio.title	인카운터(랜덤 사건) 본문·선택지 — 플레이어가 겪는 이야기	혼잣말·반말		8	수수께끼의 방송	A Mysterious Broadcast	謎の放送	
ev.radio.text	인카운터(랜덤 사건) 본문·선택지 — 플레이어가 겪는 이야기	혼잣말·반말		58	라디오에서 잡음 섞인 목소리가 흘러나온다.<br>"...좌표... 창고... 물자가 아직 남아있다..."	A static-laced voice crackles from the radio.<br>"...coordinates... warehouse... supplies still remain..."	ラジオから雑音まじりの声が流れてくる。<br>「……座標……倉庫……物資がまだ残っている……」	
ev.radio.c0	인카운터(랜덤 사건) 본문·선택지 — 플레이어가 겪는 이야기	혼잣말·반말		8	좌표를 기록한다	Note the coordinates	座標を記録する	
ev.radio.c1	인카운터(랜덤 사건) 본문·선택지 — 플레이어가 겪는 이야기	혼잣말·반말		4	무시한다	Ignore it	無視する	
ev.radio.r0	인카운터(랜덤 사건) 본문·선택지 — 플레이어가 겪는 이야기	혼잣말·반말		41	지도에 좌표를 옮겨 적었다. <b>(다음 탐험 성공 시 자원 2배)</b>	You copied the coordinates onto your map. <b>(double resources on next successful expedition)</b>	地図に座標を書き写した。<b>(次の探索成功時、資源2倍)</b>	
ev.radio.r1	인카운터(랜덤 사건) 본문·선택지 — 플레이어가 겪는 이야기	혼잣말·반말		15	잡음뿐인 방송은 곧 끊겼다.	The broadcast, nothing but static, soon cut out.	雑音ばかりの放送は、すぐに途切れた。	
buff.radio	일반 UI	라벨(명사구)		9	물자 은닉처 좌표	Cache coordinates	隠し物資の座標	
ev.cat.title	인카운터(랜덤 사건) 본문·선택지 — 플레이어가 겪는 이야기	혼잣말·반말		6	야윈 고양이	A Gaunt Cat	痩せた猫	
ev.cat.text	인카운터(랜덤 사건) 본문·선택지 — 플레이어가 겪는 이야기	혼잣말·반말		70	문틈으로 야윈 고양이 한 마리가 들어와 나를 빤히 올려다본다.<br>얼룩진 털, 조심스러운 발걸음 — 그러나 눈만은 또렷하다.	A gaunt cat slips in through the door and stares up at me.<br>Patchy fur, cautious steps — yet its eyes are clear and bright.	戸の隙間から痩せた猫が一匹入ってきて、じっと私を見上げる。<br>汚れた毛並み、用心深い足取り──それでも目だけは澄んでいる。	
ev.cat.c0	인카운터(랜덤 사건) 본문·선택지 — 플레이어가 겪는 이야기	혼잣말·반말		26	🥫 음식 1개를 내어준다 (가족으로 맞이하기)	🥫 Offer 1 food (welcome it as family)	🥫 食料を1つ差し出す（家族として迎える）	
ev.cat.c1	인카운터(랜덤 사건) 본문·선택지 — 플레이어가 겪는 이야기	혼잣말·반말		8	조용히 지켜본다	Watch quietly	静かに見守る	
ev.cat.r0	인카운터(랜덤 사건) 본문·선택지 — 플레이어가 겪는 이야기	혼잣말·반말		80	고양이는 그릇을 싹 비우더니, 당연하다는 듯 가장 아늑한 자리를 차지했다.<br>이제 이 집엔 심장이 두 개 뛴다. <b>(쾌적함 +6)</b>	The cat licks the bowl clean and claims the coziest spot as if it were owed.<br>Now two hearts beat in this home. <b>(comfort +6)</b>	猫は皿をきれいに平らげると、当然のように一番心地よい場所を陣取った。<br>これでこの家には、心臓が二つ脈打っている。<b>(快適さ +6)</b>	
ev.cat.r1	인카운터(랜덤 사건) 본문·선택지 — 플레이어가 겪는 이야기	혼잣말·반말		34	고양이는 어둠 속으로 사라졌다. 다시는 볼 수 없을 것 같다.	The cat vanished into the dark. It seems I will never see it again.	猫は闇の中へ消えていった。もう二度と会えない気がする。	
ev.cat.coat.tabby	인카운터(랜덤 사건) 본문·선택지 — 플레이어가 겪는 이야기	혼잣말·반말		28	먼지를 털어내자 드러난 건 치즈빛 줄무늬 태비였다.	Once the dust was gone, a cheese-striped tabby coat showed through.	埃を払ってやると、現れたのはチーズ色の縞──茶トラだった。	
ev.cat.coat.black	인카운터(랜덤 사건) 본문·선택지 — 플레이어가 겪는 이야기	혼잣말·반말		32	온몸이 새까만 털, 그 사이에서 앰버빛 두 눈이 반짝였다.	Its coat was all black, and two amber eyes glinted within it.	全身真っ黒な毛並み、その中で琥珀色の両目がきらめいていた。	
ev.cat.coat.siamese	인카운터(랜덤 사건) 본문·선택지 — 플레이어가 겪는 이야기	혼잣말·반말		33	크림빛 몸에 초콜릿빛 귀와 발, 그리고 파란 눈의 샴이었다.	A cream body with chocolate ears and paws, and blue eyes—a Siamese.	クリーム色の体にチョコレート色の耳と足、そして青い目のシャム猫だった。	
ev.cat.coat.ragdoll	인카운터(랜덤 사건) 본문·선택지 — 플레이어가 겪는 이야기	혼잣말·반말		32	흰크림빛 털에 갈색 포인트, 파란 눈이 맑은 래그돌이었다.	A white-cream coat with brown points and clear blue eyes—a Ragdoll.	白に近いクリーム色の毛に茶色のポイント、澄んだ青い目のラグドールだった。	
cat.pet	일반 UI	라벨(명사구)		9	🐈 그르릉...	🐈 Purr...	🐈 ゴロゴロ……	
ev.ending.title	인카운터(랜덤 사건) 본문·선택지 — 플레이어가 겪는 이야기	혼잣말·반말		9	하늘에서 온 손님	A Visitor from the Sky	空から来た客	
ev.ending.text	인카운터(랜덤 사건) 본문·선택지 — 플레이어가 겪는 이야기	혼잣말·반말		142	요란한 프로펠러 소리가 폐허의 정적을 갈랐다. 헬리콥터다.<br>방호복을 입은 백발의 과학자가 내려와 내게 걸어온다.<br>"믿을 수가 없군요. 관측 위성이 당신의 불빛을 10,000일 넘게 기록했습니다.<br>정화 구역이 완성됐습니다 — 함께 갑시다."	A roar of rotors tore through the silence of the ruins. A helicopter.<br>A white-haired scientist in a hazmat suit steps down and walks toward me.<br>"I can’t believe it. Our satellite recorded your light for over 10,000 days.<br>The cleansed zone is finished — come with us."	けたたましいプロペラ音が廃墟の静寂を切り裂いた。ヘリコプターだ。<br>防護服を着た白髪の科学者が降り立ち、こちらへ歩いてくる。<br>「信じられません。観測衛星はあなたの明かりを10,000日以上記録していました。<br>浄化区域が完成したのです──一緒に行きましょう。」	
ev.ending.c0	인카운터(랜덤 사건) 본문·선택지 — 플레이어가 겪는 이야기	혼잣말·반말		18	🚁 박사와 함께 떠난다 (엔딩)	🚁 Leave with the doctor (ending)	🚁 博士とともに発つ（エンディング）	
ev.ending.c1	인카운터(랜덤 사건) 본문·선택지 — 플레이어가 겪는 이야기	혼잣말·반말		10	아직은 여기 남는다	Stay here, for now	まだここに残る	
ev.ending.r0	인카운터(랜덤 사건) 본문·선택지 — 플레이어가 겪는 이야기	혼잣말·반말		32	나는 천천히 고개를 끄덕이고, 마지막으로 집을 돌아보았다.	I nod slowly and take one last look back at my home.	ゆっくりとうなずき、最後にもう一度、家を振り返った。	
ev.ending.r1	인카운터(랜덤 사건) 본문·선택지 — 플레이어가 겪는 이야기	혼잣말·반말		76	"...당신 같은 사람들 덕분에 이 별이 아직 살아있는 거겠죠."<br>박사는 통신기를 남기고 떠났다. 부르면 언제든 다시 온다고 했다.	"...it’s people like you who keep this planet alive."<br>The doctor leaves a radio behind and departs — call, and they’ll return anytime.	「……あなたのような人たちのおかげで、この星はまだ生きているのでしょうね。」<br>博士は通信機を残して去った。呼べばいつでもまた来ると言っていた。	
end3.title	엔딩 3분기 대사·연출 텍스트(스포일러 주의)	혼잣말·반말		9	문 두드리는 소리	A Knock at the Door	戸を叩く音	
end3.text	엔딩 3분기 대사·연출 텍스트(스포일러 주의)	혼잣말·반말		103	아홉 번째 겨울을 넘겼다. 봄 냄새가 나던 밤, 누가 문을 두드렸다.<br>방한복 셋. 어깨의 휘장은 처음 보는 것이다. 그들은 서두르지 않았다.<br>"준비되면 나오시죠. 어디로든."	The ninth winter is behind you. On a night that smelled of spring, someone knocked.<br>Three figures in cold-weather gear. The insignia on their shoulders is one you've never seen. They were in no hurry.<br>"Come out when you're ready. Wherever you want to go."	九度目の冬を越えた。春の匂いがした夜、誰かが戸を叩いた。<br>防寒着姿が三人。肩の記章は見たことのないものだ。彼らは急がなかった。<br>「支度ができたら、出てきてください。どこへでも。」	
end3.lean.escape	엔딩 3분기 대사·연출 텍스트(스포일러 주의)	혼잣말·반말		51	나는 문득, 그동안 하늘로 보낸 신호들을 생각했다. 어딘가에서 누군가 그걸 다 듣고 있었다.	You find yourself thinking of every signal you sent into the sky. Somewhere, someone was listening to all of it.	ふと、これまで空へ送った信号のことを思った。どこかで誰かが、その全てを聞いていたのだ。	
end3.lean.newworld	엔딩 3분기 대사·연출 텍스트(스포일러 주의)	혼잣말·반말		54	나는 문득, 주워 모은 종이들을 생각했다. 관찰, 선별, 규합 — 이들이 누군지 나는 이미 안다.	You find yourself thinking of the papers you gathered. Observation, selection, assembly — you already know who these people are.	ふと、拾い集めた紙切れのことを思った。観察、選別、糾合──この人たちが何者か、もう分かっている。	
end3.lean.rest	엔딩 3분기 대사·연출 텍스트(스포일러 주의)	혼잣말·반말		49	나는 문득, 등 뒤의 방을 생각했다. 난로, 담요, 아홉 번의 겨울을 같이 넘긴 살림들.	You find yourself thinking of the room at your back. The stove, the blankets, the small things that crossed nine winters with you.	ふと、背後の部屋のことを思った。ストーブ、毛布、九度の冬をともに越えた暮らしの品々。	
end3.c.escape	엔딩 3분기 대사·연출 텍스트(스포일러 주의)	혼잣말·반말		8	구조선에 오른다	Board the rescue craft	救助船に乗る	
end3.c.newworld	엔딩 3분기 대사·연출 텍스트(스포일러 주의)	혼잣말·반말		13	그들의 초대를 받아들인다	Accept their invitation	彼らの招待を受け入れる	
end3.c.rest	엔딩 3분기 대사·연출 텍스트(스포일러 주의)	혼잣말·반말		6	여기 남는다	Stay here	ここに残る	
end3.c.wait	엔딩 3분기 대사·연출 텍스트(스포일러 주의)	혼잣말·반말		11	아직 결정하지 못했다	Not ready to decide	まだ決められない	
end3.r.escape	엔딩 3분기 대사·연출 텍스트(스포일러 주의)	혼잣말·반말		23	문을 나섰다. 뒤는 돌아보지 않기로 했다.	You stepped out the door and chose not to look back.	戸口を出た。後ろは振り返らないと決めた。	
end3.r.newworld	엔딩 3분기 대사·연출 텍스트(스포일러 주의)	혼잣말·반말		32	초대장의 좌표를 내밀었다. 그들이 말없이 고개를 끄덕였다.	You held out the invitation's coordinates. They nodded without a word.	招待状の座標を差し出した。彼らは黙ってうなずいた。	
end3.r.rest	엔딩 3분기 대사·연출 텍스트(스포일러 주의)	혼잣말·반말		24	고개를 저었다. 그들은 두 번 묻지 않았다.	You shook your head. They didn't ask twice.	首を横に振った。彼らは二度は訊かなかった。	
end3.r.wait	엔딩 3분기 대사·연출 텍스트(스포일러 주의)	혼잣말·반말		25	다음 봄에 다시 오겠다고 했다. 문이 닫혔다.	They said they'd come again next spring. The door closed.	彼らは次の春にまた来ると言い残した。戸が閉まった。	
end3.early.title	엔딩 3분기 대사·연출 텍스트(스포일러 주의)	혼잣말·반말		9	예정에 없던 교신	An Unscheduled Transmission	予定外の交信	
end3.early.text	엔딩 3분기 대사·연출 텍스트(스포일러 주의)	혼잣말·반말		91	정기 교신 시간이 아닌데 라디오가 살아났다. 박사다.<br>"다음 주 보급 항로가 네 좌표 근처를 지난다. 지금이라면 태울 수 있다. …다 보고 갈 필요는 없다."	The radio comes alive outside the regular hour. It's the doctor.<br>"A supply route passes near your coordinates next week. If you leave now, they can take you. ...You don't have to see all of it to the end."	定時交信の時間でもないのに、ラジオが息を吹き返した。博士だ。<br>「来週、補給ルートが君の座標の近くを通る。今なら乗せられる。……全部を見届けてから行く必要はない。」	
end3.early.c0	엔딩 3분기 대사·연출 텍스트(스포일러 주의)	혼잣말·반말		6	지금 떠난다	Leave now	今すぐ発つ	
end3.early.c1	엔딩 3분기 대사·연출 텍스트(스포일러 주의)	혼잣말·반말		7	아직은 아니다	Not yet	まだだ	
end3.early.r0	엔딩 3분기 대사·연출 텍스트(스포일러 주의)	혼잣말·반말		21	좌표를 받아 적었다. 짐은 많지 않다.	You wrote down the coordinates. You don't have much to pack.	座標を書き取った。荷物は多くない。	
end3.early.r1	엔딩 3분기 대사·연출 텍스트(스포일러 주의)	혼잣말·반말		38	"알겠다. 그 마음도 답이다." 잡음 속에서 박사가 웃은 것 같았다.	"Understood. That, too, is an answer." Through the static, the doctor seemed to smile.	「分かった。その気持ちも答えだ。」雑音の向こうで、博士が笑った気がした。	
end3.escape.line0	엔딩 3분기 대사·연출 텍스트(스포일러 주의)	혼잣말·반말		25	구조선의 문이 닫히자, 소리가 전부 멀어졌다.	When the rescue craft's door closed, every sound fell away.	救助船の扉が閉まると、音がすべて遠のいた。	
end3.escape.line1	엔딩 3분기 대사·연출 텍스트(스포일러 주의)	혼잣말·반말	{day}	31	Day {day}. 그만큼의 아침을 그 도시에서 맞았다.	Day {day}. That's how many mornings you greeted in that city.	Day {day}。それだけの数の朝を、あの街で迎えた。	
end3.escape.line2	엔딩 3분기 대사·연출 텍스트(스포일러 주의)	혼잣말·반말		36	창 너머로 도시가 작아진다. 내 굴뚝 연기는 이제 보이지 않는다.	Through the window the city grows small. You can no longer see your own chimney smoke.	窓の向こうで街が小さくなっていく。私の煙突の煙は、もう見えない。	
end3.escape.cat	엔딩 3분기 대사·연출 텍스트(스포일러 주의)	혼잣말·반말		31	 무릎 위 고양이가 처음 듣는 엔진 소리에 귀를 접었다.	 On your lap, the cat folded its ears at the first engine sound it ever heard.	 膝の上の猫が、初めて聞くエンジン音に耳を伏せた。	
end3.escape.line3	엔딩 3분기 대사·연출 텍스트(스포일러 주의)	혼잣말·반말		38	박사가 말했다. 버틴 불빛이 있어서, 지켜보는 일이 헛되지 않았다고.	The doctor said: because a light held out down there, the watching was never in vain.	博士は言った。持ちこたえた明かりがあったから、見守る日々は無駄ではなかったと。	
end3.escape.line4	엔딩 3분기 대사·연출 텍스트(스포일러 주의)	혼잣말·반말	{winters} {succ} {cat}	44	{winters}번의 겨울. 탐험 {succ}번{cat}. 나는 살아서 나왔다.	{winters} winters. {succ} expeditions{cat}. You made it out alive.	{winters}度の冬。探索{succ}回{cat}。私は生きて、ここを出た。	
end3.newworld.line0	엔딩 3분기 대사·연출 텍스트(스포일러 주의)	혼잣말·반말		46	좌표의 끝에는 불 켜진 도시가 있었다. 소각 이후 처음 보는, 전기가 도는 밤이다.	At the end of the coordinates stood a lit city. The first night with electricity you've seen since the burning.	座標の先には、明かりのともる都市があった。焼却以来初めて見る、電気の通う夜だ。	
end3.newworld.line1	엔딩 3분기 대사·연출 텍스트(스포일러 주의)	혼잣말·반말	{day}	50	Day {day}. 그들은 내 이름 대신 번호를 먼저 불렀고, 그 다음에야 이름을 물었다.	Day {day}. They called your number before your name — and only then asked what your name was.	Day {day}。彼らは名前ではなく番号を先に呼び、その後になってようやく名前を尋ねた。	
end3.newworld.line2	엔딩 3분기 대사·연출 텍스트(스포일러 주의)	혼잣말·반말		40	따뜻한 방과 정해진 자리. 문에는 잠금장치가 안쪽에도, 바깥쪽에도 있다.	A warm room, an assigned place. The door locks from the inside — and from the outside.	暖かい部屋と、決められた居場所。扉の錠は内側にも、外側にもついている。	
end3.newworld.cat	엔딩 3분기 대사·연출 텍스트(스포일러 주의)	혼잣말·반말		31	 고양이는 새 방이 마음에 드는지, 오래 냄새를 맡았다.	 The cat took a long time smelling the new room, as if deciding whether to approve.	 猫は新しい部屋が気に入ったのか、長いあいだ匂いを嗅いでいた。	
end3.newworld.line3	엔딩 3분기 대사·연출 텍스트(스포일러 주의)	혼잣말·반말		46	여기서 인간은 다시 시작된다고 그들은 말한다. 누구의 설계로인지는, 말하지 않는다.	Humanity starts again here, they say. By whose design, they don't say.	ここから人類はやり直すのだと彼らは言う。誰の設計によるものかは、口にしない。	
end3.newworld.line4	엔딩 3분기 대사·연출 텍스트(스포일러 주의)	혼잣말·반말	{winters}	55	{winters}번의 겨울을 버틴 값이 이 자리라면 — 상인지 아닌지는, 살아보면 알게 될 것이다.	If this place is the price of {winters} winters endured — whether it's a reward or not, living here will tell.	{winters}度の冬を耐えた対価がこの場所なら — 褒美かどうかは、暮らしてみればわかるだろう。	
end3.rest.line0	엔딩 3분기 대사·연출 텍스트(스포일러 주의)	혼잣말·반말		29	그들이 떠난 뒤, 나는 문을 닫고 난로 앞에 앉았다.	After they left, you closed the door and sat down by the stove.	彼らが去ったあと、扉を閉めてストーブの前に座った。	
end3.rest.line1	엔딩 3분기 대사·연출 텍스트(스포일러 주의)	혼잣말·반말	{day}	32	Day {day}. 세상의 끝에서 시작해, 여기까지 왔다.	Day {day}. You started at the end of the world, and came this far.	Day {day}。世界の終わりから始めて、ここまで来た。	
end3.rest.line2	엔딩 3분기 대사·연출 텍스트(스포일러 주의)	혼잣말·반말		30	낡은 주전자가 끓는다. 이 소리를 두고 갈 수 없었다.	The old kettle is boiling. You couldn't leave this sound behind.	古びたやかんが沸いている。この音を置いては行けなかった。	
end3.rest.cat	엔딩 3분기 대사·연출 텍스트(스포일러 주의)	혼잣말·반말		37	 고양이가 무릎 위로 올라와 자리를 잡았다. 그래, 우리는 남는다.	 The cat climbed onto your lap and settled in. Yes — we're staying.	 猫が膝の上に乗ってきて、腰を落ち着けた。そうだ、私たちは残る。	
end3.rest.line3	엔딩 3분기 대사·연출 텍스트(스포일러 주의)	혼잣말·반말		43	구조는 구원이 아니다. 나는 이미 살아 있다 — 아홉 번의 겨울이 그 증거다.	Rescue is not salvation. You are already alive — nine winters are the proof.	救助は救いではない。私はすでに生きている — 九度の冬がその証だ。	
end3.rest.line4	엔딩 3분기 대사·연출 텍스트(스포일러 주의)	혼잣말·반말	{winters} {succ} {cat}	59	{winters}번의 겨울. 탐험 {succ}번{cat}. 내일 아침에도 나는 이 집에서 눈을 뜰 것이다.	{winters} winters. {succ} expeditions{cat}. And tomorrow morning, you will wake in this house again.	{winters}度の冬。探索{succ}回{cat}。明日の朝も、この家で目を覚ますだろう。	
end3.note.escape	엔딩 3분기 대사·연출 텍스트(스포일러 주의)	혼잣말·반말		28	구조선에 올랐다. 그 겨울들의 기록은 여기 남는다.	Boarded the rescue craft. The record of those winters stays here.	救助船に乗った。あの冬の記録は、ここに残る。	
end3.note.newworld	엔딩 3분기 대사·연출 텍스트(스포일러 주의)	혼잣말·반말		28	초대를 받아들였다. 다음 인류라는 것이 되러 간다.	Accepted the invitation. Off to become the next humanity, whatever that is.	招待を受け入れた。次の人類とやらになりに行く。	
end3.note.rest	엔딩 3분기 대사·연출 텍스트(스포일러 주의)	혼잣말·반말		19	남기로 했다. 이 집이 내 답이다.	Chose to stay. This house is the answer.	残ることにした。この家が私の答えだ。	
end3.after.escape	엔딩 3분기 대사·연출 텍스트(스포일러 주의)	혼잣말·반말		38	엔딩 「탈출」 — 수첩에 기록됐다. 이 겨울은 계속 이어갈 수 있다.	Ending — Escape. Written in the journal. This winter can still go on.	エンディング「脱出」 — 手帳に記録された。この冬は、このまま続けられる。	
end3.after.newworld	엔딩 3분기 대사·연출 텍스트(스포일러 주의)	혼잣말·반말		39	엔딩 「신세계」 — 수첩에 기록됐다. 이 겨울은 계속 이어갈 수 있다.	Ending — New World. Written in the journal. This winter can still go on.	エンディング「新世界」 — 手帳に記録された。この冬は、このまま続けられる。	
end3.after.rest	엔딩 3분기 대사·연출 텍스트(스포일러 주의)	혼잣말·반말		29	엔딩 「안식」 — 수첩에 기록됐다. 겨울은 계속된다.	Ending — Rest. Written in the journal. Winter goes on.	エンディング「安息」 — 手帳に記録された。冬は続く。	
hidden.foundToast	히든 루트 「침묵」(스포일러 최상급 — 톤 유지 필수)	혼잣말·반말		16	벽 안쪽에서 빈 소리가 났다.	The wall rang hollow.	壁の中から虚ろな音がした。	
hidden.foundNote	히든 루트 「침묵」(스포일러 최상급 — 톤 유지 필수)	혼잣말·반말		44	노선 끝, 막다른 벽을 두드렸다. 벽이 빈 소리를 냈다 — 너머에 공간이 있다.	At the end of the line, knocked on the dead-end wall. It rang hollow — there is space beyond.	路線の果て、行き止まりの壁を叩いた。壁は虚ろな音を返した — 向こうに空間がある。	
proj.hiddenGate.name	대형 프로젝트(건설) 이름·단계·완공 문구	혼잣말·반말		7	벽 너머 통로	The Passage Beyond the Wall	壁の向こうの通路	
proj.hiddenGate.stage1	대형 프로젝트(건설) 이름·단계·완공 문구	혼잣말·반말		30	타일 벽을 허문다. 두드리면 빈 소리가 나던 자리부터.	Break through the tiled wall, starting where it rang hollow.	タイルの壁を崩す。叩くと虚ろな音がした場所から。	
proj.hiddenGate.stage2	대형 프로젝트(건설) 이름·단계·완공 문구	혼잣말·반말		39	버팀목을 세우고 통로를 넓힌다. 숨 쉴 때마다 오래된 공기 맛이 난다.	Raise props and widen the passage. Every breath tastes of old air.	支柱を立てて通路を広げる。息をするたび、古い空気の味がする。	
proj.hiddenGate.stage3	대형 프로젝트(건설) 이름·단계·완공 문구	혼잣말·반말		40	등불을 걸고 사다리를 내린다. 바닥이 보이지 않는다 — 그래도 내려간다.	Hang a lantern and lower the ladder. The bottom is out of sight — going down anyway.	ランタンを掛け、はしごを下ろす。底は見えない — それでも降りていく。	
proj.hiddenGate.workNote	대형 프로젝트(건설) 이름·단계·완공 문구	혼잣말·반말		17	벽 너머 통로를 조금 더 냈다.	Dug the passage beyond the wall a little further.	壁の向こうの通路を、少しだけ先へ延ばした。	
proj.hiddenGate.doneToast	대형 프로젝트(건설) 이름·단계·완공 문구	혼잣말·반말		26	통로가 뚫렸다. 사다리가 어둠 아래로 이어진다.	The passage is open. The ladder runs down into the dark.	通路が開通した。はしごが闇の下へと続いている。	
proj.hiddenGate.memoir	대형 프로젝트(건설) 이름·단계·완공 문구	혼잣말·반말	{day}	70	{day}일째. 노선 끝의 벽을 허물고 아래로 내려가는 길을 냈다. 어디로 이어지는지는 쓰지 않겠다. 이건 나만 아는 길이다.	Day {day}. Broke the wall at the end of the line and opened a way down. I won't write where it leads. This road is mine alone.	{day}日目。路線の果ての壁を崩し、下へ降りる道を開いた。どこへ続くのかは書かない。これは私だけが知る道だ。	
proj.eastgate.name	대형 프로젝트(건설) 이름·단계·완공 문구	혼잣말·반말		4	국경 길	The Border Road	国境の道	
proj.eastgate.stage1	대형 프로젝트(건설) 이름·단계·완공 문구	혼잣말·반말		36	3년 치 잔해를 걷어낸다. 동쪽으로 가는 차선이 하나씩 드러난다.	Clear three years of debris. One eastbound lane surfaces at a time.	3年分の瓦礫を取り除く。東へ向かう車線が少しずつ現れる。	
proj.eastgate.stage2	대형 프로젝트(건설) 이름·단계·완공 문구	혼잣말·반말		38	검문소를 손본다. 차단기를 올리고, 부스의 깨진 유리를 갈아 끼운다.	Mend the checkpoint. Raise the barrier, replace the shattered booth glass.	検問所を直す。遮断機を上げ、ブースの割れたガラスを入れ替える。	
proj.eastgate.stage3	대형 프로젝트(건설) 이름·단계·완공 문구	혼잣말·반말		38	등을 걸고 표지를 세운다. 국경을 여는 건 결국 나 하나를 위해서다.	Hang the lights, set the signs. In the end, this border opens for one.	灯りを掛け、標識を立てる。結局この国境は、私ひとりのために開く。	
proj.eastgate.workNote	대형 프로젝트(건설) 이름·단계·완공 문구	혼잣말·반말		14	국경 길을 조금 더 냈다.	Cleared a little more of the border road.	国境の道を少し進めた。	
proj.eastgate.doneToast	대형 프로젝트(건설) 이름·단계·완공 문구	혼잣말·반말		29	국경이 열렸다. 동쪽 길 끝에 세관 청사가 서 있다.	The border is open. At the end of the road stands the customs house.	国境が開いた。道の先に税関庁舎が立っている。	
proj.eastgate.memoir	대형 프로젝트(건설) 이름·단계·완공 문구	혼잣말·반말	{day}	76	{day}일째. 동쪽 국경 길을 다 냈다. 3년 만에 이 도시 밖으로 나가는 문이 생겼다 — 문 너머에 뭐가 있는지는, 가서 보면 안다.	Day {day}. The border road east is finished. For the first time in three years there is a way out of this city — what waits beyond, I will see for myself.	{day}日目。東の国境の道が通った。3年ぶりに、この街の外へ出る扉ができた — その先に何があるかは、行けばわかる。	
east.rumorNote	일반 UI	라벨(명사구)		65	📜 수도의 기록에서 알게 됐다 — 동쪽 국경 검문소는 봉쇄가 아니라 그냥 버려졌다. 길만 낸다면, 지나갈 수 있다.	📜 The capital's records say the eastern checkpoint was never sealed — only abandoned. Clear the road, and it can be crossed.	📜 首都の記録で知った — 東の国境検問所は封鎖ではなく、ただ捨てられていた。道さえ通せば、越えられる。	
hidden.reach.title	히든 루트 「침묵」(스포일러 최상급 — 톤 유지 필수)	혼잣말·반말		8	통로 끝의 불빛	A Light at the End of the Passage	通路の果ての灯り	
